AUC,log_loss,Accuracy,Time_min,Time
0.9877,0.1417,0.9467,76.0,2020-05-03 21:52:43.430419
0.9854,0.2184,0.9404,60.0,2020-05-03 22:53:13.735198
0.9849,0.2561,0.9443,62.0,2020-05-03 23:55:29.953436
0.983,0.1661,0.9377,60.0,2020-05-04 00:56:16.529786
0.9873,0.2415,0.9447,78.0,2020-05-04 02:15:07.232594
