AUC,log_loss,Accuracy,Time_min,Time
0.9402,0.191,0.9091,43.0,2020-05-03 02:17:15.961734
0.9406,0.1906,0.9085,60.0,2020-05-03 03:17:23.913867
0.9358,0.1983,0.9081,60.0,2020-05-03 04:17:27.849811
0.9412,0.1875,0.9126,60.0,2020-05-03 05:17:34.476812
0.9346,0.1975,0.9085,60.0,2020-05-03 06:17:41.098995
