AUC,log_loss,Accuracy,Time_min,Time
0.837,0.6412,0.8555,61.0,2020-05-04 03:16:19.165350
0.8254,0.4254,0.846,60.0,2020-05-04 04:17:16.933298
0.8471,0.4173,0.846,60.0,2020-05-04 05:17:33.255283
0.8361,0.5561,0.8649,61.0,2020-05-04 06:19:02.772714
0.8057,0.403,0.8456,60.0,2020-05-04 07:19:17.189374
