AUC,log_loss,Accuracy,Time_min,Time
0.9111,0.309,0.8599,53.0,2020-05-02 17:04:39.057013
0.9164,0.3014,0.8604,60.0,2020-05-02 18:04:47.368019
0.9163,0.3015,0.8578,53.0,2020-05-02 18:58:29.718869
0.9192,0.2957,0.8632,50.0,2020-05-02 19:49:29.079318
0.9111,0.31,0.8551,40.0,2020-05-02 20:29:41.240967
