AUC,log_loss,Accuracy,Time_min,Time
0.9202,0.5959,0.8768,60.0,2020-05-04 18:42:10.750760
0.9458,0.2804,0.891,60.0,2020-05-04 19:42:24.943311
0.9421,0.3094,0.872,60.0,2020-05-04 20:42:29.759849
0.9414,0.416,0.872,60.0,2020-05-04 21:42:37.298712
0.9391,0.4755,0.8768,61.0,2020-05-04 22:43:41.876343
