AUC,log_loss,Accuracy,Time_min,Time
0.8278,0.3325,0.8697,0.0,2020-05-02 15:25:02.561440
0.8212,0.3393,0.8531,0.0,2020-05-02 15:25:05.861148
0.8533,0.3107,0.872,0.0,2020-05-02 15:25:09.122558
0.8196,0.3369,0.8673,0.0,2020-05-02 15:25:12.378380
0.7901,0.3518,0.867,0.0,2020-05-02 15:25:15.649329
