,AUC_std,AUC_std,AUC_std,AUC_std,AUC_std
Auto_ml,0.0032761257607118737,0.014350087107749541,0.005755258465090856,0.006635736583077998,0.022704338792398263
h2o,0.0020498780451529567,0.002957194616524249,0.0036762752889303355,0.004140410607657151,0.0479013882888586
tpot,0.0026191601707417364,0.03391125182000807,0.0070318560849891975,0.004525814843760193,0.01892823288106951
catboost-default,0.0029516097302997105,0.009016263084005487,0.004033856715353176,0.00583626592951348,0.02215587958082461
lightgbm-default,0.0036861904454327955,0.01132488410536725,0.0034478979103216194,0.005707626476916649,0.027358508731288728
lightgbm-opt,0.0035898467933882577,0.008034301463101832,0.0030449958949069445,0.004389988610463582,0.03105242341589462
