,adult,Amazon_employee_access,bank-marketing,Click_prediction_small,credit-g
tpot,0.9126000000000001,0.7895399999999999,0.8491799999999999,0.71136,0.78164
h2o,0.91428,0.8550999999999999,0.9370999999999998,0.7205600000000001,0.77646
lightgbm-default,0.9144400000000001,0.8462599999999998,0.9364600000000001,0.7159800000000001,0.77954
Auto_ml,0.9146599999999999,0.8286,0.9035400000000001,0.7188399999999999,0.79252
lightgbm-opt,0.9148200000000001,0.8577,0.93848,0.71728,0.7852399999999999
catboost-default,0.9149800000000001,0.84666,0.9379200000000001,0.71912,0.7837399999999999
