AUC,log_loss,Accuracy,Time_min,Time
0.9966,0.0802,0.973,46.0,2020-07-29 20:49:03.221608
0.9967,0.0753,0.9726,60.0,2020-07-29 21:49:39.599550
0.9969,0.0748,0.9743,56.0,2020-07-29 22:46:23.712574
0.996,0.0862,0.9673,61.0,2020-07-29 23:47:31.292272
0.9974,0.0776,0.9713,55.0,2020-07-30 00:42:41.402270
