AUC,log_loss,Accuracy,Time_min,Time
0.8731,0.1531,0.9506,78.0,2020-07-20 12:54:53.797608
0.8454,0.169,0.9455,82.0,2020-07-20 14:17:11.585279
0.8737,0.1803,0.9532,105.0,2020-07-20 16:02:52.465095
0.8759,0.1525,0.9475,89.0,2020-07-20 17:32:26.435336
