AUC,log_loss,Accuracy,Time_min,Time
0.9407,0.1901,0.9115,124.0,2020-07-23 08:43:17.086815
0.9401,0.1928,0.9082,89.0,2020-07-23 10:12:35.567807
0.9359,0.196,0.9096,86.0,2020-07-23 11:38:37.238471
0.9406,0.2809,0.9004,87.0,2020-07-23 13:06:15.531502
0.9321,0.5749,0.8588,87.0,2020-07-23 14:33:25.712081
