iter	Logloss
0	0.6860435422
1	0.6793555034
2	0.673101501
3	0.6670605542
4	0.6614918425
5	0.6554270967
6	0.6502493756
7	0.6440689082
8	0.6376400121
9	0.6320087513
10	0.6265974266
11	0.6200489482
12	0.6140169144
13	0.6093256757
14	0.6036458999
15	0.5978848144
16	0.5932508707
17	0.5877859912
18	0.5840965923
19	0.5790187983
20	0.5741070454
21	0.5688037241
22	0.562940438
23	0.5581120892
24	0.5543980119
25	0.5507743357
26	0.5465990673
27	0.5419621567
28	0.5384180867
29	0.5347475148
30	0.5310286396
31	0.527582323
32	0.5240481066
33	0.5211516026
34	0.5173386695
35	0.514591384
36	0.5111958337
37	0.5087233586
38	0.5054198612
39	0.5017176435
40	0.4987299703
41	0.4958017237
42	0.4924878572
43	0.4893308419
44	0.4860942545
45	0.4830766761
46	0.4804623901
47	0.4773127555
48	0.4746752934
49	0.4720754974
50	0.4695752076
51	0.4668817819
52	0.464104822
53	0.4615901072
54	0.458857592
55	0.4563644958
56	0.4543069842
57	0.4521160674
58	0.4495977505
59	0.4476083544
60	0.4451825726
61	0.4428042295
62	0.4402671269
63	0.4381114464
64	0.4358065854
65	0.4338911305
66	0.4313830946
67	0.4290860308
68	0.4267606838
69	0.4242942322
70	0.4228345064
71	0.421400759
72	0.4197547639
73	0.4177475507
74	0.4159756334
75	0.4141403072
76	0.4120920154
77	0.4105103765
78	0.4084959696
79	0.4068056716
80	0.4053081376
81	0.4032507951
82	0.40183169
83	0.4004884952
84	0.398581634
85	0.396577422
86	0.3950566111
87	0.3932732084
88	0.3919836102
89	0.3900397394
90	0.3880556568
91	0.3870430073
92	0.385169008
93	0.3831930561
94	0.3817980374
95	0.3806495294
96	0.3795023411
97	0.3779720196
98	0.3770407956
99	0.3757265335
100	0.3739475399
101	0.3726948264
102	0.3713961852
103	0.3703026373
104	0.3687942991
105	0.3674490612
106	0.3659344264
107	0.3647692612
108	0.3636061176
109	0.3623618056
110	0.3614486155
111	0.3600671293
112	0.3592454809
113	0.3581749356
114	0.3572082637
115	0.3561980884
116	0.355318305
117	0.3540851321
118	0.3530699213
119	0.3521710808
120	0.3508270003
121	0.3501507493
122	0.3493300897
123	0.348450646
124	0.3475531532
125	0.3466547724
126	0.3458574532
127	0.3451042265
128	0.3442558479
