AUC,log_loss,Accuracy,Time_min,Time
0.8524,0.3335,0.8649,34.0,2020-07-30 05:36:36.693373
0.8358,0.3298,0.8626,22.0,2020-07-30 05:59:08.975123
0.8535,0.315,0.8578,18.0,2020-07-30 06:17:17.172521
0.8455,0.3196,0.8791,13.0,2020-07-30 06:31:07.885354
0.81,0.3448,0.8575,14.0,2020-07-30 06:45:13.137369
