AUC,log_loss,Accuracy,Time_min,Time
0.9779,0.198,0.9233,53.0,2020-07-30 01:35:58.920502
0.9694,0.2308,0.9097,50.0,2020-07-30 02:26:18.087423
0.9787,0.1923,0.9264,51.0,2020-07-30 03:17:50.860716
0.9694,0.2313,0.905,51.0,2020-07-30 04:09:24.791815
0.9811,0.1849,0.9303,52.0,2020-07-30 05:02:05.925967
