AUC,log_loss,Accuracy,Time_min
0.7771,0.5438,0.735,28.0
0.7324,1.0685,0.73,44.0
0.8473,0.4721,0.77,39.0
0.7931,0.4852,0.765,43.0
0.7324,0.5546,0.715,41.0
