AUC,log_loss,Accuracy,Time_min,Time
0.99,0.1363,0.9459,46.0,2020-05-01 07:35:17.725296
0.9865,0.1572,0.9386,47.0,2020-05-01 08:23:16.078093
0.99,0.1311,0.9536,47.0,2020-05-01 09:10:35.503348
0.9895,0.1323,0.9516,47.0,2020-05-01 09:58:17.303464
0.9876,0.1461,0.9432,47.0,2020-05-01 10:45:41.509309
