AUC,log_loss,Accuracy,Time_min,Time
0.9387,0.2127,0.8955,47.0,2020-04-30 23:26:01.390179
0.9323,0.2157,0.8965,50.0,2020-05-01 00:16:14.771302
0.941,0.2116,0.9009,49.0,2020-05-01 01:05:35.718122
0.9393,0.2075,0.9032,49.0,2020-05-01 01:54:57.490720
0.9342,0.212,0.8972,49.0,2020-05-01 02:44:34.863371
