AUC,log_loss,Accuracy,Time_min,Time
0.7601,0.5251,0.72,59.0,2020-08-03 14:32:37.338207
0.753,0.5347,0.74,59.0,2020-08-03 15:31:43.675107
0.7771,0.4971,0.765,55.0,2020-08-03 16:27:31.862280
0.812,0.4798,0.78,56.0,2020-08-03 17:24:03.665372
0.7985,0.4853,0.77,59.0,2020-08-03 18:23:47.438285
