AUC,log_loss,Accuracy,Time_min,Time
0.8581,0.3096,0.8578,2.0,2020-08-02 20:23:12.416080
0.8271,0.3397,0.8436,2.0,2020-08-02 20:25:46.270111
0.8566,0.3094,0.8744,2.0,2020-08-02 20:28:27.740578
0.8451,0.3167,0.8791,2.0,2020-08-02 20:31:05.065712
0.7877,0.3613,0.8599,2.0,2020-08-02 20:33:48.300930
