AUC,log_loss,Accuracy,Time_min,Time
0.9869,0.1148,0.9595,3.0,2020-08-02 20:37:24.711691
0.9819,0.1304,0.9534,3.0,2020-08-02 20:41:02.686225
0.984,0.1264,0.9537,3.0,2020-08-02 20:44:37.773408
0.9832,0.1278,0.953,3.0,2020-08-02 20:48:16.671815
0.9871,0.1186,0.955,3.0,2020-08-02 20:51:53.192689
