AUC,log_loss,Accuracy,Time_min,Time
0.9853,0.1157,0.9624,0.0,2020-04-30 17:31:36.188328
0.9769,0.2164,0.9495,0.0,2020-04-30 17:31:53.965259
0.9774,0.2434,0.954,0.0,2020-04-30 17:32:10.487813
0.9744,0.2756,0.9527,0.0,2020-04-30 17:32:29.627474
0.9791,0.1467,0.9498,0.0,2020-04-30 17:32:47.415054
