AUC,log_loss,Accuracy,Time_min
0.7815,0.4958,0.755,0.0
0.7654,0.5272,0.785,0.0
0.7848,0.4883,0.775,0.0
0.8223,0.4689,0.765,0.0
0.8086,0.4714,0.775,0.0
