AUC,log_loss,Accuracy,Time_min,Time
0.8121,0.3418,0.8602,0.0,2020-04-30 17:28:51.636801
0.7572,0.3769,0.846,0.0,2020-04-30 17:29:28.636437
0.8095,0.3536,0.846,0.0,2020-04-30 17:30:06.763306
0.8171,0.3426,0.8673,0.0,2020-04-30 17:30:38.155735
0.774,0.3769,0.8456,0.0,2020-04-30 17:31:18.763407
