AUC,log_loss,Accuracy,Time_min,Time
0.9702,0.2532,0.9069,0.0,2020-05-02 16:09:15.837971
0.969,0.2538,0.9075,0.0,2020-05-02 16:09:15.996347
0.9708,0.2539,0.9052,0.0,2020-05-02 16:09:16.157349
0.9612,0.2755,0.8902,0.0,2020-05-02 16:09:16.319655
0.9711,0.2544,0.9032,0.0,2020-05-02 16:09:16.481996
