AUC,log_loss,Accuracy,Time_min,Time
0.9826,0.1295,0.9514,0.0,2020-05-02 16:09:18.434287
0.9784,0.1435,0.9456,0.0,2020-05-02 16:09:18.589230
0.9805,0.137,0.9492,0.0,2020-05-02 16:09:18.723600
0.9766,0.1439,0.9485,0.0,2020-05-02 16:09:18.849593
0.9818,0.1348,0.9498,0.0,2020-05-02 16:09:18.974056
